"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4,C5","5","C_Polarized","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"CN1","1","PJ-3200","","","","easyeda2kicad:AUDIO-TH_PJ-3200","https://www.lcsc.com/datasheet/C2689690.pdf"
"J1","1","AudioJack2","","","","Connector_Audio:Jack_3.5mm_CUI_SJ1-3513N_Horizontal",""
"J4,J5","2","Conn_01x02","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"R1,R2","2","10K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"RV1,RV2","2","R_Potentiometer","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"SW1","1","RotaryEncoder_Switch_MP","","","","Rotary_Encoder:RotaryEncoder_Bourns_Vertical_PEL12D-4x25S-Sxxxx",""
"SW3","1","SW_Push","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"U1","1","XIAO-RP2040-DIP","","","","static:XIAO-RP2040-DIP",""
"U2","1","RDA5807MRRD-102V2.0","","","","Static:RDA5807","https://www.lcsc.com/datasheet/C9900205627.pdf"
"U3","1","TDA2822NBD","","","","Package_DIP:DIP-8_W7.62mm","https://www.lcsc.com/datasheet/C51927337.pdf"
