Reference,Qty,Value,DNP,Footprint,,,,,Datasheet,Links to buy,Retailer,Cost (dollars),
"10Kohm1,100ohm1",2,R,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,,,,,,Owned,Owned,0,
"C1,C2,C3,C4,C5",5,C_Polarized,,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,,,,,,https://www.aliexpress.us/item/3256810508693915.html?spm=a2g0o.productlist.main.1.68fd1108eHDrYx&algo_pvid=9171f141-f117-4e75-bdc4-ed18b7b0842b&algo_exp_id=9171f141-f117-4e75-bdc4-ed18b7b0842b-0&pdp_ext_f=%7B%22order%22%3A%2231%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.35%213.18%21%21%2122.30%2121.18%21%402101e5ab17899261819331760e0f70%2112000053214363383%21sea%21US%214570435753%21X%211%210%21n_tag%3A-29911%3Bd%3A2a9d23e2%3Bm03_new_user%3A-29895&curPageLogUid=OJ7CYfMdVWOt&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010695008667%7C_p_origin_prod%3A,Aliexpress,4,
C6,1,4.7µF,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,,,,,,Owned,Owned,0,
"C7,C8,C9",3,100nF,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,,,,,,Owned,Owned,0,
C10,1,10nF,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,,,,,,Owned,Owned,0,
"C11,C12",2,10pf,,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,,,,,,Owned,Owned,0,
CN1,1,PJ-3200,,static:AUDIO-TH_PJ-3200,,,,,https://www.lcsc.com/datasheet/C2689690.pdf,included in kit,included in kit,0,
J1,1,0.96in OLED Display,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,,,,,,https://www.aliexpress.us/item/3256806022799299.html?spm=a2g0o.productlist.main.1.21b7BKMyBKMyCV&algo_pvid=1c8fa0af-e916-458c-86e3-0e107aec1efd&algo_exp_id=1c8fa0af-e916-458c-86e3-0e107aec1efd-0&pdp_ext_f=%7B%22order%22%3A%22274%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.48%212.33%21%21%2123.16%2115.52%21%402101e75417899220153943078e0d90%2112000036304751814%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A2a9d23e2%3Bm03_new_user%3A-29895&curPageLogUid=FwapZcyoFvRJ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006209114051%7C_p_origin_prod%3A,Aliexpress,3,
J2,1,MicroSD Card Module,,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,,,,,,https://www.aliexpress.us/item/2251832601364265.html?spm=a2g0o.productlist.main.3.7dc9uxbmuxbmpg&algo_pvid=eb0b0031-5e83-4aa1-af78-c304453724ad&algo_exp_id=eb0b0031-5e83-4aa1-af78-c304453724ad-2&pdp_ext_f=%7B%22order%22%3A%221962%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.66%211.53%21%21%211.66%211.53%21%402103128917899222202845181e1020%2163278695202%21sea%21US%214570435753%21X%211%210%21n_tag%3A-29911%3Bd%3A2a9d23e2%3Bm03_new_user%3A-29895%3BpisId%3A5000000217788162&curPageLogUid=IZeHAfpDRn8G&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32787679017%7C_p_origin_prod%3A,Aliexpress,2,
J4,1,Speaker 1,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,,,,,included in kit,included in kit,0,
